,Title,published_date,Views,Likes,comments,Published_date,Comments,Month
196,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15T13:00:32Z,30587,740,98,2020-04-15,98,Apr
197,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13T13:00:03Z,45737,923,155,2020-04-13,155,Apr
198,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10T13:00:15Z,74602,1921,214,2020-04-10,214,Apr
199,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08T13:00:19Z,83463,1791,278,2020-04-08,278,Apr
200,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06T13:00:07Z,133705,3574,623,2020-04-06,623,Apr
201,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03T13:00:12Z,206343,5172,173,2020-04-03,173,Apr
202,When Data Science Goes Wrong,2020-03-30T13:00:06Z,1820,106,30,2020-03-30,30,Mar
203,How to ULTRALEARN Data Science,2020-03-27T13:00:02Z,62191,3814,168,2020-03-27,168,Mar
204,Why Right NOW is a Great Time to Learn Data Science,2020-03-23T13:00:30Z,4483,267,50,2020-03-23,50,Mar
205,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20T13:00:22Z,13618,474,45,2020-03-20,45,Mar
206,The Secret Data Scientists Don't Want You to Know,2020-03-16T13:00:23Z,10878,1141,102,2020-03-16,102,Mar
207,The 5 Stages of Learning Data Science,2020-03-13T13:00:26Z,17631,1296,78,2020-03-13,78,Mar
208,Can You Learn Data Science Without a Computer?,2020-03-11T13:00:03Z,1874,130,14,2020-03-11,14,Mar
209,The Best Free Data Science Courses Nobody is Talking About,2020-03-09T13:00:04Z,349119,21213,620,2020-03-09,620,Mar
210,The Data Science Projects that Got Me a Job,2020-03-06T14:00:11Z,41445,1399,41,2020-03-06,41,Mar
211,How to Integrate Data Science into Your Business,2020-03-02T14:00:01Z,3409,128,18,2020-03-02,18,Mar
212,The Problem with Data Science,2020-02-28T14:00:07Z,3817,152,18,2020-02-28,18,Feb
213,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24T14:00:00Z,1202,45,16,2020-02-24,16,Feb
214,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21T14:00:02Z,136957,2560,96,2020-02-21,96,Feb
215,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17T14:00:04Z,332849,17949,526,2020-02-17,526,Feb
216,Data Science Advice for College Students,2020-02-14T17:22:37Z,69141,1964,195,2020-02-14,195,Feb
217,Avoid These Data Science Resume Mistakes!,2020-02-10T15:52:59Z,28803,1246,62,2020-02-10,62,Feb
218,Data Science Explained with ... Cooking?,2020-02-07T15:56:55Z,5471,317,48,2020-02-07,48,Feb
219,The 4 Types of Sports Analytics Projects,2020-02-03T16:35:19Z,32860,1063,62,2020-02-03,62,Feb
220,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31T18:50:23Z,603,18,13,2020-01-31,13,Jan
221,How I Learned Data Science,2020-01-27T14:41:18Z,94351,2687,210,2020-01-27,210,Jan
222,What is Sports Analytics Really?,2020-01-20T14:00:00Z,22189,628,74,2020-01-20,74,Jan
223,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18T01:03:08Z,112481,3146,575,2020-01-18,575,Jan
224,How To Learn Programming for Data Science [3 Steps],2020-01-13T16:48:44Z,30186,1982,96,2020-01-13,96,Jan
225,Data Science Fundamentals: SQL Queries,2020-01-10T19:15:01Z,6756,218,35,2020-01-10,35,Jan
226,Questions You Should Ask Your Data Science Interviewers,2020-01-06T14:00:04Z,3174,150,14,2020-01-06,14,Jan
227,The 9 Books That Changed My Perspective in 2019,2020-01-03T14:45:28Z,3403,177,25,2020-01-03,25,Jan
228,The Data Science Interview: What to Expect,2019-12-30T14:00:01Z,8703,381,32,2019-12-30,32,Dec
229,5 Data Science Resolutions for 2020,2019-12-27T14:00:07Z,476,25,12,2019-12-27,12,Dec
230,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23T12:59:47Z,18069,628,95,2019-12-23,95,Dec
231,Collision Course: Sports Betting + Data Science,2019-12-20T14:00:02Z,19639,527,27,2019-12-20,27,Dec
232,3 Reasons You Should NOT Become a Data Scientist,2019-12-16T18:46:58Z,101021,2924,204,2019-12-16,204,Dec
233,5 Sports Analytics Books to Get You Started,2019-12-13T14:00:01Z,11422,423,60,2019-12-13,60,Dec
234,Math Needed for Mastering Data Science,2019-12-09T14:00:15Z,58117,2908,222,2019-12-09,222,Dec
235,The 5 Stages of Data Science Adoption,2019-12-06T14:00:04Z,1338,68,17,2019-12-06,17,Dec
236,How YOU Can Land a Sports Analytics Job,2019-12-02T14:00:05Z,72093,3160,232,2019-12-02,232,Dec
237,Data Science Fundamentals: Linear Regression,2019-11-29T14:00:02Z,6468,174,42,2019-11-29,42,Nov
238,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25T14:00:11Z,1181,54,12,2019-11-25,12,Nov
239,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22T14:00:06Z,6526,280,26,2019-11-22,26,Nov
240,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18T15:34:12Z,46620,1758,78,2019-11-18,78,Nov
241,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11T21:12:11Z,5980,138,31,2019-11-11,31,Nov
242,Why Selling Is An Important Data Science Skill,2019-11-04T14:57:00Z,1658,81,13,2019-11-04,13,Nov
243,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21T16:38:58Z,2974,72,18,2019-10-21,18,Oct
244,Why is Balance Important in Data Science?,2019-10-16T17:40:34Z,715,32,13,2019-10-16,13,Oct
245,How to Stay Productive & Motivated When Learning Data Science,2019-09-29T00:29:59Z,12041,583,55,2019-09-29,55,Sep
246,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21T23:04:57Z,4154,120,35,2019-09-21,35,Sep
247,6 Habits of Successful Data Scientists,2019-09-13T04:40:51Z,2260,97,17,2019-09-13,17,Sep
248,How To Build A Word Cloud From Scraped Data (Python),2019-09-04T01:32:06Z,4989,104,10,2019-09-04,10,Sep
249,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26T12:42:32Z,522,24,29,2019-08-26,29,Aug
250,Is Data Science Right For You?,2019-08-18T16:54:05Z,52157,1187,109,2019-08-18,109,Aug
251,Data Science Fundamentals: Data Cleaning in Python,2019-08-11T20:50:23Z,15205,394,55,2019-08-11,55,Aug
252,How To Get Data Science Experience (Without a Job),2019-08-08T01:58:40Z,29883,1388,77,2019-08-08,77,Aug
253,Take Your Data Science Projects From Good to Great,2019-08-05T02:34:28Z,1641,110,11,2019-08-05,11,Aug
254,The Projects You Should Do To Get A Data Science Job,2019-07-30T03:35:48Z,153495,5740,255,2019-07-30,255,Jul
255,What Does a Data Scientist Actually Do?,2019-07-19T03:18:04Z,49503,1307,80,2019-07-19,80,Jul
256,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13T21:09:41Z,13226,356,44,2019-07-13,44,Jul
257,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05T14:29:49Z,18319,536,61,2019-07-05,61,Jul
258,Data Science: Pros and Cons,2019-06-30T15:26:49Z,5508,224,18,2019-06-30,18,Jun
259,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21T04:33:34Z,25963,1230,89,2019-06-21,89,Jun
260,My Top 5 Data Science Internship Tips,2019-06-15T15:28:26Z,12139,502,24,2019-06-15,24,Jun
261,Golf STATS: Strokes Gained Explained,2019-06-07T03:10:34Z,7880,160,30,2019-06-07,30,Jun
262,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25T18:34:33Z,622,44,5,2019-05-25,5,May
263,What I Learned From My Three Degrees,2019-05-17T03:10:29Z,1288,61,12,2019-05-17,12,May
264,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14T00:21:28Z,25696,1067,66,2019-05-14,66,May
265,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05T20:26:36Z,1266,40,2,2019-05-05,2,May
266,Should You Learn R for Data Science?,2019-04-25T15:00:01Z,21921,571,71,2019-04-25,71,Apr
267,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18T15:00:14Z,46631,851,330,2019-04-18,330,Apr
268,Work From Home Data Scientist: Day in the Life,2019-04-12T15:00:00Z,28208,755,101,2019-04-12,101,Apr
269,Where to Look for Data Science Jobs,2019-03-29T16:00:01Z,3033,118,9,2019-03-29,9,Mar
270,Data Science: Startup vs. Large Corporation,2019-03-21T17:00:01Z,2281,75,4,2019-03-21,4,Mar
271,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16T14:00:04Z,6263,172,26,2019-03-16,26,Mar
272,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09T21:58:10Z,4257,180,15,2019-03-09,15,Mar
273,Why You DON'T Want to be a WFH Data Scientist,2019-03-03T22:14:01Z,823,33,12,2019-03-03,12,Mar
274,Welcome To My Channel | Ken Jee | Data Science,2019-03-03T01:00:17Z,1466,34,8,2019-03-03,8,Mar
275,Where YOU Should Start With Data Science Projects,2019-02-19T03:23:50Z,17897,356,17,2019-02-19,17,Feb
276,Watch This Before Applying to Data Science Jobs,2019-02-04T23:40:34Z,1513,65,13,2019-02-04,13,Feb
277,My Top 5 Data Science Resources for 2019,2019-01-05T22:07:08Z,3738,122,15,2019-01-05,15,Jan
278,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18T02:01:15Z,845,35,6,2018-12-18,6,Dec
279,The Best Way to Predict NBA Minutes Played,2018-12-11T02:39:35Z,4909,116,15,2018-12-11,15,Dec
280,Demystifying Data Science Roles,2018-11-30T01:22:49Z,1150,53,5,2018-11-30,5,Nov
281,How to Simulate NBA Games in Python,2018-11-19T23:31:49Z,18430,403,50,2018-11-19,50,Nov
